CustomerID,Gender,Age,AnnualIncome,SpendingScore,VisitFrequency,AvgPurchaseValue,SatisfactionScore,ComplaintsCount,LoyaltyPoints,CustomerSegment,ChurnRisk
8128,Male,42,51,18,2,1414.75,3.9,5,566,At-Risk Customer,High
3033,Female,35,76,72,13,3515.92,9.2,2,9141,Potential Loyalist,Low
7939,Male,37,31,23,3,788.13,6.5,3,473,Budget Shopper,Medium
3040,Female,48,91,73,13,3490.01,8.3,2,9074,Potential Loyalist,Low
9656,Female,47,55,15,2,1394.47,3.3,1,558,At-Risk Customer,High
2546,Male,18,81,62,16,3246.14,6.9,0,10000,Potential Loyalist,Low
2593,Male,57,74,69,11,3080.75,7.9,1,6778,Potential Loyalist,Low
1189,Female,27,114,89,14,4278.21,9.8,1,10000,Premium Customer,Low
7967,Female,56,36,22,3,1100.06,4.2,0,660,Budget Shopper,Medium
6078,Female,39,27,27,3,982.08,5.5,0,589,Budget Shopper,Medium
108,Male,54,111,88,15,4365.78,8.8,0,10000,Premium Customer,Low
1316,Female,35,100,87,17,4208.97,8.4,0,10000,Premium Customer,Low
8188,Female,45,40,12,2,971.76,2.8,3,389,At-Risk Customer,High
2754,Male,23,78,55,9,3017.15,7.9,3,5431,Potential Loyalist,Low
9754,Male,45,45,13,3,1673.76,2.6,1,1004,At-Risk Customer,High
6232,Female,33,38,35,4,1462.91,5.7,0,1170,Budget Shopper,Medium
2877,Female,38,92,70,13,3634.42,7.5,0,9449,Potential Loyalist,Low
5324,Female,41,70,49,8,2523.92,6.8,1,4038,Regular Customer,Medium
800,Female,47,110,87,12,4476.36,8.6,1,10000,Premium Customer,Low
3571,Male,33,76,62,12,2959.87,6.9,1,7104,Potential Loyalist,Low
2895,Male,19,96,74,11,3605.06,7.0,0,7931,Potential Loyalist,Low
2928,Female,36,78,56,9,2939.72,9.0,1,5291,Potential Loyalist,Low
8179,Male,41,56,15,0,1423.81,2.9,5,0,At-Risk Customer,High
972,Female,37,105,85,16,4280.02,8.4,0,10000,Premium Customer,Low
6688,Female,18,37,24,4,1420.5,5.1,1,1136,Budget Shopper,Medium
8576,Female,45,42,16,2,1139.53,2.3,7,456,At-Risk Customer,High
2021,Female,20,88,74,5,3735.65,7.0,0,3736,Potential Loyalist,Low
9055,Female,42,48,13,0,1772.6,3.3,1,0,At-Risk Customer,High
953,Female,47,100,87,16,4216.23,8.8,1,10000,Premium Customer,Low
5360,Female,41,69,47,8,2201.03,7.7,0,3522,Regular Customer,Medium
3858,Male,18,82,75,7,3702.57,8.7,1,5184,Potential Loyalist,Low
5862,Male,22,53,55,8,2502.69,7.5,1,4004,Regular Customer,Medium
3146,Female,30,64,71,11,2864.64,7.8,2,6302,Potential Loyalist,Low
3306,Male,45,75,74,10,3055.63,7.7,1,6111,Potential Loyalist,Low
3007,Female,22,97,78,7,3681.81,8.1,1,5155,Potential Loyalist,Low
9002,Male,39,61,7,2,1023.12,4.2,5,409,At-Risk Customer,High
7771,Female,23,30,13,3,988.8,5.2,2,593,Budget Shopper,Medium
7439,Female,43,34,28,3,1775.77,3.8,0,1065,Budget Shopper,Medium
7943,Female,38,28,29,2,1131.1,5.8,0,452,Budget Shopper,Medium
9239,Male,39,60,21,0,1607.16,1.0,7,0,At-Risk Customer,High
1057,Female,47,110,82,16,4169.11,8.8,2,10000,Premium Customer,Low
3155,Male,40,88,71,9,3479.89,8.6,1,6264,Potential Loyalist,Low
3788,Male,36,85,67,14,3447.44,7.3,2,9653,Potential Loyalist,Low
9190,Female,18,47,12,1,1138.29,3.2,7,228,At-Risk Customer,High
7826,Female,43,34,19,2,1330.72,4.5,1,532,Budget Shopper,Medium
7540,Female,32,22,29,5,1386.76,5.8,1,1387,Budget Shopper,Medium
7232,Female,45,34,30,3,1300.15,4.4,2,780,Budget Shopper,Medium
765,Male,26,119,86,16,4552.22,9.2,2,10000,Premium Customer,Low
5020,Male,47,63,64,4,3133.48,6.1,1,2507,Regular Customer,Medium
4904,Male,36,54,51,6,2379.83,6.7,0,2856,Regular Customer,Medium
8094,Female,27,49,13,1,1564.28,3.5,3,313,At-Risk Customer,High
6844,Male,40,26,29,3,1383.86,5.2,1,830,Budget Shopper,Medium
2166,Male,18,76,73,11,3338.49,8.2,0,7345,Potential Loyalist,Low
1863,Female,34,116,85,16,4320.36,8.8,1,10000,Premium Customer,Low
7851,Male,49,23,27,3,1242.23,2.9,2,745,Budget Shopper,Medium
9124,Female,20,38,25,1,1508.07,2.2,1,302,At-Risk Customer,High
2341,Male,32,82,69,7,3268.3,8.5,1,4576,Potential Loyalist,Low
5528,Female,40,53,52,7,2341.71,7.3,2,3278,Regular Customer,Medium
6744,Female,33,30,38,2,1967.35,4.6,3,787,Budget Shopper,Medium
4004,Female,21,65,63,7,2864.41,6.0,1,4010,Regular Customer,Medium
1124,Male,37,101,83,14,4043.73,9.5,1,10000,Premium Customer,Low
8710,Female,50,39,5,1,899.75,3.0,4,180,At-Risk Customer,High
4050,Male,23,56,48,8,2383.49,7.3,3,3814,Regular Customer,Medium
7641,Female,64,32,26,2,1098.86,5.6,3,440,Budget Shopper,Medium
766,Female,41,104,89,15,4096.01,8.7,0,10000,Premium Customer,Low
2345,Male,55,83,77,9,3647.4,7.3,1,6565,Potential Loyalist,Low
4072,Male,36,47,54,9,2396.2,7.7,0,4313,Regular Customer,Medium
7217,Male,27,34,26,2,1673.95,3.1,0,670,Budget Shopper,Medium
4217,Female,46,51,59,7,2510.59,7.2,0,3515,Regular Customer,Medium
7953,Female,20,37,29,2,1281.81,6.7,1,513,Budget Shopper,Medium
5971,Female,23,52,68,9,2675.86,7.5,2,4817,Regular Customer,Medium
3351,Female,26,75,80,10,3228.87,7.2,1,6458,Potential Loyalist,Low
4696,Male,38,64,48,9,2837.78,7.3,0,5108,Regular Customer,Medium
3400,Male,53,82,76,9,3562.51,8.4,1,6413,Potential Loyalist,Low
4082,Female,32,53,55,10,2843.53,7.9,1,5687,Regular Customer,Medium
9150,Male,41,51,14,1,1142.96,3.7,1,229,At-Risk Customer,High
1225,Female,70,109,86,15,4870.17,8.7,0,10000,Premium Customer,Low
6293,Male,26,28,8,3,838.04,4.8,0,503,Budget Shopper,Medium
3123,Female,53,82,59,11,3354.13,8.9,1,7379,Potential Loyalist,Low
511,Female,24,112,87,17,4582.85,9.2,1,10000,Premium Customer,Low
5795,Female,30,54,41,8,1790.71,6.9,0,2865,Regular Customer,Medium
8182,Female,18,45,12,0,1439.96,1.8,4,0,At-Risk Customer,High
9418,Male,33,59,21,0,1912.26,2.6,3,0,At-Risk Customer,High
97,Female,45,112,88,12,4296.29,8.1,0,10000,Premium Customer,Low
6682,Female,36,27,21,2,948.23,5.8,1,379,Budget Shopper,Medium
1513,Male,46,104,94,14,4818.8,8.7,1,10000,Premium Customer,Low
8792,Male,43,60,20,1,1943.9,4.4,3,389,At-Risk Customer,High
120,Female,26,116,84,14,4335.31,10.0,2,10000,Premium Customer,Low
7792,Male,43,35,22,2,1380.64,4.9,2,552,Budget Shopper,Medium
6518,Female,35,36,26,3,1067.41,4.5,0,640,Budget Shopper,Medium
34,Female,18,102,88,12,4330.15,9.4,0,10000,Premium Customer,Low
7888,Male,42,17,25,2,827.62,5.7,0,331,Budget Shopper,Medium
6831,Male,41,23,30,4,1094.72,6.7,0,876,Budget Shopper,Medium
5422,Male,21,54,56,7,2347.57,5.8,0,3287,Regular Customer,Medium
1069,Male,38,106,86,18,4078.03,8.8,2,10000,Premium Customer,Low
1348,Male,18,117,93,15,4503.52,8.2,0,10000,Premium Customer,Low
4748,Male,60,66,44,9,2506.21,5.6,0,4511,Regular Customer,Medium
6006,Female,51,37,19,2,1154.71,6.9,1,462,Budget Shopper,Medium
6040,Female,47,31,24,2,1248.4,5.4,1,499,Budget Shopper,Medium
3818,Male,37,85,74,11,3144.13,7.4,2,6917,Potential Loyalist,Low
8447,Female,39,34,14,1,1010.45,3.1,3,202,At-Risk Customer,High
5270,Female,30,63,59,7,2675.79,5.9,0,3746,Regular Customer,Medium
6898,Female,45,25,20,1,816.27,5.2,1,163,Budget Shopper,Medium
5310,Female,41,48,52,9,2480.33,7.8,1,4465,Regular Customer,Medium
32,Male,21,125,80,16,4487.25,9.0,0,10000,Premium Customer,Low
5675,Male,24,53,48,6,1961.14,8.0,0,2353,Regular Customer,Medium
4387,Female,40,54,52,9,2607.36,6.8,0,4693,Regular Customer,Medium
30,Male,48,108,83,15,4024.31,8.0,1,10000,Premium Customer,Low
4203,Male,51,68,38,7,2475.49,8.2,0,3466,Regular Customer,Medium
7508,Male,50,42,27,4,1523.37,4.9,0,1219,Budget Shopper,Medium
736,Male,49,114,82,20,4435.71,8.5,0,10000,Premium Customer,Low
2068,Male,34,84,70,9,3329.73,6.9,0,5994,Potential Loyalist,Low
107,Female,34,125,80,14,4496.86,9.5,0,10000,Premium Customer,Low
9645,Male,31,41,12,2,1200.74,2.6,1,480,At-Risk Customer,High
8895,Male,30,64,18,2,1687.56,3.4,7,675,At-Risk Customer,High
8021,Female,22,61,17,3,1566.16,4.6,3,940,At-Risk Customer,High
2233,Male,49,74,64,12,3146.58,8.4,0,7552,Potential Loyalist,Low
994,Female,45,105,84,17,4273.08,8.1,3,10000,Premium Customer,Low
9413,Male,35,47,14,2,1266.85,2.4,4,507,At-Risk Customer,High
7059,Female,27,35,25,3,1174.93,6.0,1,705,Budget Shopper,Medium
6790,Male,38,27,23,2,962.66,4.8,0,385,Budget Shopper,Medium
361,Male,42,114,80,14,4036.81,8.9,0,10000,Premium Customer,Low
305,Male,22,110,95,16,4536.18,8.9,0,10000,Premium Customer,Low
2628,Male,42,82,62,12,3260.64,7.4,2,7826,Potential Loyalist,Low
8966,Male,21,54,21,1,1422.13,3.3,4,284,At-Risk Customer,High
4514,Female,50,55,69,4,2767.22,6.9,0,2214,Regular Customer,Medium
5911,Male,22,72,43,6,2735.67,8.0,1,3283,Regular Customer,Medium
8314,Female,30,60,16,2,1596.78,2.4,1,639,At-Risk Customer,High
3101,Female,42,80,65,8,3589.68,8.1,2,5743,Potential Loyalist,Low
5704,Male,55,68,67,7,3004.24,7.5,0,4206,Regular Customer,Medium
3899,Male,48,88,78,12,3588.21,8.9,0,8612,Potential Loyalist,Low
5441,Male,54,57,64,5,2955.45,6.9,1,2955,Regular Customer,Medium
7931,Male,34,33,16,2,965.89,4.9,2,386,Budget Shopper,Medium
622,Male,59,114,89,15,4924.95,8.8,1,10000,Premium Customer,Low
7236,Male,42,30,25,3,1285.25,2.2,0,771,Budget Shopper,Medium
2499,Male,33,86,69,8,3390.95,7.9,1,5426,Potential Loyalist,Low
714,Female,42,113,78,17,4055.41,9.1,1,10000,Premium Customer,Low
8404,Male,32,40,16,1,912.16,1.7,0,182,At-Risk Customer,High
2856,Male,36,78,64,7,3350.6,8.2,0,4691,Potential Loyalist,Low
4270,Male,21,55,57,6,2340.18,5.9,1,2808,Regular Customer,Medium
2909,Female,56,88,64,11,3252.64,7.6,0,7156,Potential Loyalist,Low
8081,Male,45,50,20,1,1442.46,3.9,2,288,At-Risk Customer,High
4517,Female,34,59,53,5,2223.82,8.0,0,2224,Regular Customer,Medium
1262,Female,29,111,85,12,4124.58,8.8,0,9899,Premium Customer,Low
3161,Male,48,79,76,11,3620.49,7.1,4,7965,Potential Loyalist,Low
971,Female,56,111,75,18,4195.62,8.9,0,10000,Premium Customer,Low
3913,Female,27,91,71,13,3223.25,7.7,1,8380,Potential Loyalist,Low
5199,Female,48,63,60,6,2367.68,5.6,1,2841,Regular Customer,Medium
8847,Male,31,49,15,0,1397.46,1.3,0,0,At-Risk Customer,High
260,Male,27,116,86,17,4433.55,9.2,1,10000,Premium Customer,Low
3791,Female,59,75,76,9,3176.31,8.0,0,5717,Potential Loyalist,Low
9203,Female,55,50,8,2,1141.06,2.9,4,456,At-Risk Customer,High
488,Male,31,101,85,18,4071.99,8.6,1,10000,Premium Customer,Low
7908,Female,25,35,23,3,1389.46,4.9,1,834,Budget Shopper,Medium
519,Female,42,111,84,15,4479.34,10.0,1,10000,Premium Customer,Low
8343,Male,58,46,18,2,1455.48,2.2,1,582,At-Risk Customer,High
312,Male,18,119,94,11,4816.0,10.0,1,10000,Premium Customer,Low
3232,Male,49,95,68,12,3572.76,7.9,1,8575,Potential Loyalist,Low
7933,Male,25,35,18,4,1028.44,4.6,0,823,Budget Shopper,Medium
7458,Male,39,35,23,1,1148.65,6.4,0,230,Budget Shopper,Medium
9784,Male,37,52,17,2,1504.0,2.4,1,602,At-Risk Customer,High
5184,Male,38,69,57,5,2649.44,8.1,0,2649,Regular Customer,Medium
8077,Female,46,53,11,1,1626.84,3.4,3,325,At-Risk Customer,High
6502,Female,22,36,34,3,1770.34,6.8,3,1062,Budget Shopper,Medium
6791,Female,29,37,25,2,1442.45,4.7,0,577,Budget Shopper,Medium
7773,Male,28,28,24,5,1568.27,4.8,0,1568,Budget Shopper,Medium
2738,Male,18,72,67,8,3086.95,8.0,0,4939,Potential Loyalist,Low
7842,Male,24,29,20,1,943.9,3.1,1,189,Budget Shopper,Medium
6262,Male,57,27,34,3,1334.41,6.0,1,801,Budget Shopper,Medium
8206,Male,28,44,14,0,1087.58,3.1,2,0,At-Risk Customer,High
1248,Male,19,104,81,13,4044.0,9.0,1,10000,Premium Customer,Low
9336,Female,42,57,17,2,1470.06,2.1,1,588,At-Risk Customer,High
4195,Male,23,59,53,8,2322.3,7.1,2,3716,Regular Customer,Medium
8001,Female,27,60,11,2,1629.07,2.5,4,652,At-Risk Customer,High
7378,Male,63,33,27,3,1487.65,5.0,2,893,Budget Shopper,Medium
3435,Female,57,70,72,9,3087.56,8.2,0,5558,Potential Loyalist,Low
5382,Female,44,55,55,9,2436.27,7.5,1,4385,Regular Customer,Medium
959,Male,37,115,91,15,4425.32,9.7,1,10000,Premium Customer,Low
417,Female,41,122,88,15,4629.15,9.3,1,10000,Premium Customer,Low
5742,Female,28,59,64,6,2859.69,7.3,4,3432,Regular Customer,Medium
6728,Female,36,26,20,2,1082.27,4.8,0,433,Budget Shopper,Medium
4382,Female,42,77,56,8,2874.62,6.3,1,4599,Regular Customer,Medium
5197,Female,43,62,61,6,2916.62,7.1,0,3500,Regular Customer,Medium
1113,Male,38,117,83,16,4395.77,9.1,0,10000,Premium Customer,Low
2689,Female,32,87,77,11,3816.55,8.1,1,8396,Potential Loyalist,Low
6473,Male,52,31,21,1,1130.05,2.0,2,226,Budget Shopper,Medium
8820,Female,19,63,9,1,1424.47,2.7,3,285,At-Risk Customer,High
7808,Female,28,35,30,6,1489.62,4.6,2,1788,Budget Shopper,Medium
3411,Female,26,83,65,6,3317.37,8.8,0,3981,Potential Loyalist,Low
81,Male,46,108,85,15,4274.51,9.1,1,10000,Premium Customer,Low
4614,Female,22,63,64,6,2586.37,8.1,2,3104,Regular Customer,Medium
1374,Female,37,97,94,14,4219.7,8.8,2,10000,Premium Customer,Low
1510,Female,36,122,82,17,4112.3,9.2,0,10000,Premium Customer,Low
6443,Male,37,26,27,5,1055.29,5.1,0,1055,Budget Shopper,Medium
3071,Female,18,90,72,8,3336.1,8.2,1,5338,Potential Loyalist,Low
3016,Female,18,87,69,11,3522.49,7.2,0,7749,Potential Loyalist,Low
4823,Female,42,58,60,6,2715.87,7.8,0,3259,Regular Customer,Medium
7822,Female,30,35,30,3,1542.71,5.1,0,926,Budget Shopper,Medium
93,Male,37,104,88,14,4193.3,9.0,2,10000,Premium Customer,Low
9421,Male,41,44,14,1,1231.65,4.8,3,246,At-Risk Customer,High
6600,Female,25,33,33,3,1657.0,5.5,1,994,Budget Shopper,Medium
4443,Male,37,53,48,9,2248.19,6.1,2,4047,Regular Customer,Medium
7602,Male,53,32,28,2,1247.24,5.8,1,499,Budget Shopper,Medium
3835,Female,37,89,80,7,3720.51,8.3,1,5209,Potential Loyalist,Low
9702,Male,35,50,20,2,1425.75,1.4,1,570,At-Risk Customer,High
4322,Female,44,52,47,8,2184.13,7.0,0,3495,Regular Customer,Medium
3394,Male,34,74,70,9,3302.42,8.3,1,5944,Potential Loyalist,Low
4752,Male,29,60,58,4,2595.4,8.1,3,2076,Regular Customer,Medium
7229,Female,44,33,19,3,1182.75,6.1,1,710,Budget Shopper,Medium
9191,Male,30,28,11,3,736.61,3.1,3,442,At-Risk Customer,High
2361,Female,47,79,59,13,3186.21,8.2,3,8284,Potential Loyalist,Low
1148,Male,35,98,81,18,3755.69,9.5,1,10000,Premium Customer,Low
5666,Female,28,56,53,10,2400.38,7.7,1,4801,Regular Customer,Medium
8075,Female,23,46,20,0,1191.99,3.8,3,0,At-Risk Customer,High
4943,Male,31,54,48,7,1938.49,7.7,0,2714,Regular Customer,Medium
3663,Female,66,87,66,11,3031.59,7.5,1,6669,Potential Loyalist,Low
1563,Male,31,91,74,15,3643.26,8.7,0,10000,Premium Customer,Low
4113,Male,36,60,57,6,2621.37,7.6,1,3146,Regular Customer,Medium
9050,Female,36,59,16,1,1801.96,3.8,5,360,At-Risk Customer,High
9276,Male,28,57,5,1,1319.79,3.7,6,264,At-Risk Customer,High
8538,Male,51,54,22,0,1457.86,2.2,3,0,At-Risk Customer,High
795,Female,36,101,85,13,4120.34,8.8,0,10000,Premium Customer,Low
5854,Female,41,49,55,5,2239.72,7.4,1,2240,Regular Customer,Medium
7619,Male,50,27,31,4,1480.87,5.9,0,1185,Budget Shopper,Medium
1594,Male,43,117,78,15,4344.18,9.9,0,10000,Premium Customer,Low
7418,Male,30,31,15,4,950.46,4.5,2,760,Budget Shopper,Medium
5267,Male,23,52,43,5,1762.17,6.9,1,1762,Regular Customer,Medium
7147,Female,29,44,23,6,1496.94,4.4,0,1796,Budget Shopper,Medium
89,Female,52,106,83,15,4004.96,9.2,1,10000,Premium Customer,Low
8695,Female,32,50,17,2,1160.36,3.3,4,464,At-Risk Customer,High
9732,Female,54,28,14,0,769.18,3.1,1,0,At-Risk Customer,High
9446,Female,53,65,16,2,1525.12,3.0,4,610,At-Risk Customer,High
6754,Female,18,38,13,3,881.97,5.3,1,529,Budget Shopper,Medium
3502,Male,25,80,73,11,3567.1,7.1,2,7848,Potential Loyalist,Low
2234,Female,38,77,67,8,3428.83,7.8,0,5486,Potential Loyalist,Low
2803,Female,35,79,73,8,3435.79,8.3,1,5497,Potential Loyalist,Low
4424,Male,22,69,45,9,2757.42,7.2,0,4963,Regular Customer,Medium
5663,Female,44,69,44,7,2202.43,7.7,0,3083,Regular Customer,Medium
7170,Female,28,20,32,3,1082.31,3.8,1,649,Budget Shopper,Medium
8337,Male,41,57,24,1,1702.73,4.9,2,341,At-Risk Customer,High
2148,Female,59,76,68,9,3476.22,7.1,1,6257,Potential Loyalist,Low
7969,Male,40,39,25,2,1234.64,3.5,3,494,Budget Shopper,Medium
6551,Female,19,36,35,1,1589.17,5.3,3,318,Budget Shopper,Medium
7643,Male,35,34,26,3,1323.92,5.0,0,794,Budget Shopper,Medium
6164,Male,26,27,25,2,1165.46,4.3,3,466,Budget Shopper,Medium
1495,Female,43,122,88,12,4961.87,8.8,0,10000,Premium Customer,Low
7696,Male,49,30,23,0,1315.26,5.8,2,0,Budget Shopper,Medium
7094,Male,28,24,28,2,1061.1,4.5,1,424,Budget Shopper,Medium
1409,Male,36,107,84,15,4408.77,8.7,1,10000,Premium Customer,Low
6691,Female,31,36,27,1,1178.77,3.4,2,236,Budget Shopper,Medium
3401,Male,40,72,76,8,3189.61,7.5,0,5103,Potential Loyalist,Low
109,Male,36,112,83,15,4016.75,9.9,3,10000,Premium Customer,Low
5636,Female,39,51,64,8,2412.28,6.3,0,3860,Regular Customer,Medium
8482,Female,30,42,17,0,1321.92,1.1,2,0,At-Risk Customer,High
6604,Female,35,45,25,3,1180.24,6.7,2,708,Budget Shopper,Medium
1091,Female,18,109,76,17,4141.03,9.2,0,10000,Premium Customer,Low
5560,Male,53,79,52,8,2875.18,6.2,0,4600,Regular Customer,Medium
9412,Male,33,46,15,2,1179.43,3.0,0,472,At-Risk Customer,High
8143,Female,28,62,10,2,1426.22,3.0,4,570,At-Risk Customer,High
8664,Male,36,48,14,0,1427.13,1.6,3,0,At-Risk Customer,High
6596,Female,26,25,24,5,836.46,4.6,1,836,Budget Shopper,Medium
624,Female,47,121,92,18,4533.31,9.3,1,10000,Premium Customer,Low
6871,Female,44,32,28,2,1296.47,4.0,0,519,Budget Shopper,Medium
4814,Male,24,63,74,5,3326.59,6.3,3,3327,Regular Customer,Medium
6553,Female,40,23,17,3,806.56,5.1,0,484,Budget Shopper,Medium
7530,Female,41,39,30,3,1819.31,4.8,2,1092,Budget Shopper,Medium
5796,Male,44,46,58,6,2624.43,7.6,3,3149,Regular Customer,Medium
7437,Female,33,20,35,2,1021.89,5.5,0,409,Budget Shopper,Medium
4218,Male,38,62,49,7,2427.36,7.8,3,3398,Regular Customer,Medium
5941,Female,53,64,68,9,2961.87,6.9,1,5331,Regular Customer,Medium
8501,Female,44,51,15,1,1259.27,3.0,2,252,At-Risk Customer,High
6429,Male,50,37,18,4,1069.48,5.7,1,856,Budget Shopper,Medium
6827,Male,18,25,18,4,1054.39,4.2,0,844,Budget Shopper,Medium
4131,Female,27,45,49,7,2219.82,8.3,0,3108,Regular Customer,Medium
7802,Female,50,32,25,3,1533.37,4.5,0,920,Budget Shopper,Medium
7754,Male,30,43,26,2,966.79,4.6,2,387,Budget Shopper,Medium
4722,Female,43,67,50,6,2953.92,6.4,1,3545,Regular Customer,Medium
1651,Female,36,115,87,17,4478.44,9.0,1,10000,Premium Customer,Low
4141,Female,52,50,69,9,3212.07,6.6,2,5782,Regular Customer,Medium
1618,Female,34,104,84,14,4025.06,8.8,3,10000,Premium Customer,Low
2030,Male,25,80,67,9,3328.02,9.1,2,5990,Potential Loyalist,Low
8518,Female,44,60,5,1,1783.92,4.4,2,357,At-Risk Customer,High
4576,Male,44,44,63,5,2309.29,6.0,0,2309,Regular Customer,Medium
3993,Male,34,101,66,9,3672.64,8.5,0,6611,Potential Loyalist,Low
7377,Male,56,34,17,3,1335.62,4.3,0,801,Budget Shopper,Medium
6150,Female,46,32,12,3,915.91,5.1,1,550,Budget Shopper,Medium
4909,Female,35,60,52,6,2891.09,7.2,1,3469,Regular Customer,Medium
5027,Male,46,71,67,8,2891.71,8.5,0,4627,Regular Customer,Medium
8261,Female,46,62,2,0,1127.37,3.9,2,0,At-Risk Customer,High
4732,Female,29,54,50,6,2251.53,7.0,1,2702,Regular Customer,Medium
7549,Female,37,25,23,4,1244.95,5.2,4,996,Budget Shopper,Medium
8135,Female,39,51,16,1,1637.15,3.0,5,327,At-Risk Customer,High
1607,Male,23,111,81,15,4076.28,8.5,0,10000,Premium Customer,Low
4774,Male,24,44,48,2,2248.04,8.1,1,899,Regular Customer,Medium
8110,Male,35,49,6,0,1371.53,4.1,4,0,At-Risk Customer,High
6952,Female,38,23,12,2,848.85,5.5,2,340,Budget Shopper,Medium
6005,Male,34,34,22,3,1256.7,5.8,2,754,Budget Shopper,Medium
7729,Male,35,24,37,2,1621.61,3.3,2,649,Budget Shopper,Medium
3542,Male,41,97,82,13,3985.63,8.1,2,10000,Potential Loyalist,Low
389,Male,40,118,89,14,4908.61,9.5,1,10000,Premium Customer,Low
1795,Male,35,112,85,14,4170.0,8.1,1,10000,Premium Customer,Low
8732,Female,24,68,23,0,1692.09,3.7,2,0,At-Risk Customer,High
4920,Female,56,49,53,10,2316.52,6.6,2,4633,Regular Customer,Medium
5538,Male,43,52,54,5,2498.95,9.0,2,2499,Regular Customer,Medium
